node,hydrostatic_stress
node_915,43640277.9
node_916,43612121.6
node_917,43584541.3
node_918,43557945.3
node_919,43532661.4
node_920,43508976.0
node_921,43487075.8
node_922,43467037.2
node_923,43448852.5
node_924,43432331.1
node_925,43417118.1
node_926,43402576.4
node_927,43387828.8
node_928,43371528.6
node_929,43833282.5
node_930,43796009.1
node_931,43757625.6
node_932,43718864.4
node_933,43680412.3
node_934,43642906.2
node_935,43606891.6
node_936,43572814.9
node_937,43541053.8
node_938,43511871.3
node_939,43485435.5
node_940,43461761.5
node_941,43440780.6
node_942,43422229.8
node_943,43405647.3
node_944,43390266.4
node_945,43374977.1
node_946,43358131.4
node_947,43918735.5
node_948,43869342.8
node_949,43819030.8
node_950,43768829.3
node_951,43719623.6
node_952,43672233.6
node_953,43627323.2
node_954,43585422.5
node_955,43546909.3
node_956,43512085.0
node_957,43481048.6
node_958,43453830.7
node_959,43430305.5
node_960,43410167.7
node_961,43392936.7
node_962,43377773.3
node_963,43363510.1
node_964,43348255.2
node_965,44006126.4
node_966,43943550.1
node_967,43880340.6
node_968,43817794.8
node_969,43757057.2
node_970,43699142.5
node_971,43644817.4
node_972,43594688.4
node_973,43549186.7
node_974,43508567.8
node_975,43472942.4
node_976,43442295.1
node_977,43416484.8
node_978,43395244.6
node_979,43378131.9
node_980,43364383.7
node_981,43352855.7
node_982,43341606.1
node_983,44095527.6
node_984,44018379.2
node_985,43940959.9
node_986,43864929.2
node_987,43791702.3
node_988,43722484.6
node_989,43658161.2
node_990,43599411.0
node_991,43546661.4
node_992,43500145.0
node_993,43459945.7
node_994,43425998.7
node_995,43398174.3
node_996,43376258.9
node_997,43359935.8
node_998,43348709.1
node_999,43341621.4
node_1000,43337062.8
node_1001,43755264.3
node_1002,43738575.0
node_1003,43371925.4
node_1004,44025802.6
node_1005,43952343.0
node_1006,43665229.8
node_1007,44170177.5
node_1008,44068397.5
node_1009,43850364.7
node_1010,44229511.3
node_1011,44116542.8
node_1012,43955360.4
node_1013,44232391.4
node_1014,44118450.2
node_1015,44002540.6
node_1016,44198787.7
node_1017,44089454.7
node_1018,44009098.1
node_1019,44142055.5
node_1020,44040046.7
node_1021,43987445.8
node_1022,44070930.5
node_1023,43977375.0
node_1024,43946498.9
node_1025,43991088.9
node_1026,43906196.6
node_1027,43892494.2
node_1028,43906097.4
node_1029,43829643.2
node_1030,43829746.2
node_1031,43818191.5
node_1032,43749774.9
node_1033,43761230.5
node_1034,43728694.9
node_1035,43667896.3
node_1036,43688980.1
node_1037,43638340.0
node_1038,43584823.6
node_1039,43614376.1
node_1040,43547489.2
node_1041,43501064.3
node_1042,43538398.7
node_1043,43456268.3
node_1044,43416954.0
node_1045,43461753.8
node_1046,43364673.6
node_1047,43332702.6
node_1048,43384983.1
node_1049,43272625.0
node_1050,43248539.0
node_1051,43308631.9
node_1052,43180053.7
node_1053,43164753.0
node_1054,43233226.8
node_1055,43087009.4
node_1056,43081844.3
node_1057,43159545.9
node_1058,43420120.2
node_1059,43124054.0
node_1060,43654670.7
node_1061,43409404.8
node_1062,43803623.2
node_1063,43607742.3
node_1064,43888298.0
node_1065,43736511.2
node_1066,43925846.1
node_1067,43811565.4
node_1068,43929519.7
node_1069,43846275.3
node_1070,43909133.9
node_1071,43851207.7
node_1072,43871856.7
node_1073,43834495.5
node_1074,43822845.5
node_1075,43802215.6
node_1076,43765777.6
node_1077,43758880.6
node_1078,43703266.1
node_1079,43707817.1
node_1080,43637184.1
node_1081,43651481.6
node_1082,43568901.1
node_1083,43591709.1
node_1084,43499450.7
node_1085,43529945.4
node_1086,43429649.4
node_1087,43467342.4
node_1088,43360263.8
node_1089,43404922.5
node_1090,43292060.9
node_1091,43343711.9
node_1092,43225967.4
node_1093,43284793.9
node_1094,43163185.1
node_1095,43229534.1
node_1096,43208187.1
node_1097,42977104.2
node_1098,43439693.5
node_1099,43238414.8
node_1100,43600814.8
node_1101,43432693.5
node_1102,43705329.9
node_1103,43569564.8
node_1104,43765743.3
node_1105,43659458.2
node_1106,43792614.0
node_1107,43712055.2
node_1108,43794361.1
node_1109,43735744.5
node_1110,43777542.1
node_1111,43737403.9
node_1112,43747184.8
node_1113,43722518.9
node_1114,43707092.3
node_1115,43695400.2
node_1116,43660152.4
