
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                  45.E+03                  24.363205                24.7564468              393.241333E-03            58.006218E-03           443.126678E-03            -8.62180328E+06           4.81988382E+06           1.11659241E+09         550.438232E+06           974.506287E+06             1.41879678E-03          -2.54365516E-03          62.6585426E-06            4.77023602E-03           1.09023559E-03         -50.9308281E-03          -50.6711693E-06           52.0210609E-03           -1.09023559E-03         -53.4744797E-03           11.9879837E-06           56.7913055E-03            0.                     552.802917E+06             1.16022408E+15          26.4681816E-06           41.0623398E-03 
                  46.E+03                  24.3404121               24.7428799              402.471863E-03            59.4216347E-03          443.647827E-03            -8.68276024E+06           4.870368E+06             1.12172353E+09         553.027466E+06           979.003113E+06             1.41541779E-03          -2.55554008E-03          63.3148041E-06            4.79209995E-03           1.09557593E-03         -52.1850662E-03          -42.1954308E-06           53.2806435E-03           -1.09557593E-03         -54.7406082E-03           21.1191368E-06           58.0727463E-03            0.                     555.356201E+06             1.18853259E+15          26.4434128E-06           41.0254974E-03 
                  47.E+03                  24.311018                24.7225876              411.5672E-03              60.834095E-03           444.319672E-03            -8.74368858E+06           4.91928244E+06           1.12674952E+09         555.56189E+06            983.408813E+06             1.41246021E-03          -2.56718564E-03          63.9507179E-06            4.81351995E-03           1.10080075E-03         -53.4367027E-03          -33.5962982E-06           54.5374985E-03           -1.10080075E-03         -56.003891E-03            30.3550625E-06           59.3510361E-03            0.                     557.855835E+06             1.21678174E+15          26.4114838E-06           40.9780083E-03 
                  48.E+03                  24.28368                 24.7043304              420.65799E-03             62.2444191E-03          444.944611E-03            -8.80455208E+06           4.96664381E+06           1.13167703E+09         558.045227E+06           987.72937E+06              1.41032839E-03          -2.57860589E-03          64.5663834E-06            4.83452415E-03           1.10591733E-03         -54.6864624E-03          -24.8686409E-06           55.7923813E-03           -1.10591733E-03         -57.2650871E-03           39.6966934E-06           60.6269073E-03            0.                     560.305908E+06             1.2449882E+15           26.3817749E-06           40.9338188E-03 
                  49.E+03                  24.2576694               24.6874065              429.735016E-03            63.6525307E-03          445.539001E-03            -8.86532021E+06           5.01267576E+06           1.13651025E+09         560.479431E+06           991.967957E+06             1.4081111E-03           -2.58981109E-03          65.1647568E-06            4.85512972E-03           1.11092997E-03         -55.934288E-03           -16.0406342E-06           57.0452194E-03           -1.11092997E-03         -58.5240974E-03           49.1244736E-06           61.9003563E-03            0.                     562.708252E+06             1.2731508E+15           26.3535233E-06           40.8917961E-03 
                  50.E+03                  24.2326889               24.6714897              438.798248E-03            65.0589218E-03          446.109955E-03            -8.92611217E+06           5.05706024E+06           1.14125419E+09         562.867432E+06           996.129272E+06             1.4064033E-03           -2.60081387E-03          65.7418594E-06            4.87535906E-03           1.11584485E-03         -57.180603E-03            -7.10086918E-06          58.2964478E-03           -1.11584485E-03         -59.7814178E-03           58.6402588E-06           63.1718025E-03            0.                     565.065186E+06             1.30127859E+15          26.3263893E-06           40.8514099E-03 
                  51.E+03                  24.2085896               24.6564388              447.849762E-03            66.4641266E-03          446.660828E-03            -8.98731613E+06           5.09952402E+06           1.1459142E+09          565.211426E+06             1.00021827E+09           1.40518606E-03          -2.61162496E-03          66.2938461E-06            4.89523458E-03           1.12066722E-03         -58.4258423E-03            1.91293657E-06          59.5465164E-03           -1.12066722E-03         -61.0374794E-03           68.2049408E-06           64.4417496E-03            0.                     567.379333E+06             1.32938218E+15          26.3002071E-06           40.8124619E-03 
                  52.E+03                  24.1852837               24.64217                456.889496E-03            67.8681717E-03          447.193634E-03            -9.04838753E+06           5.14082813E+06           1.15049314E+09         567.513672E+06             1.00423706E+09           1.40405476E-03          -2.62225199E-03          66.830719E-06             4.91476727E-03           1.12540102E-03         -59.6700897E-03           11.0170803E-06           60.7955017E-03           -1.12540102E-03         -62.2923431E-03           77.84832E-06             65.7102661E-03            0.                     569.652771E+06             1.35746324E+15          26.2748795E-06           40.7747765E-03 
                  53.E+03                  24.1627064               24.628624               465.918091E-03            69.2711945E-03          447.709595E-03            -9.10932446E+06           5.18104601E+06           1.15499449E+09         569.775574E+06             1.00818849E+09           1.40301251E-03          -2.63270187E-03          67.353569E-06             4.93397379E-03           1.13005006E-03         -60.9134369E-03           20.2138901E-06           62.0434914E-03           -1.13005006E-03         -63.5461349E-03           87.5685349E-06           66.9774551E-03            0.                     571.886902E+06             1.38552403E+15          26.2503567E-06           40.7382774E-03 
                  54.E+03                  24.1408234               24.6157646              474.93924E-03             70.6736908E-03          448.209839E-03            -9.17018318E+06           5.22022629E+06           1.15942299E+09         571.999756E+06             1.01207662E+09           1.4025054E-03           -2.64298534E-03          67.8628845E-06            4.95287132E-03           1.13461924E-03         -62.1563263E-03           29.5024357E-06           63.290947E-03            -1.13461924E-03         -64.7993164E-03           97.3632584E-06           68.2438202E-03            0.                     574.084229E+06             1.41357386E+15          26.2265797E-06           40.7028923E-03 
                  55.E+03                  24.1195869               24.6035423              483.951813E-03            72.0755463E-03          448.69519E-03             -9.23087597E+06           5.25836992E+06           1.16378081E+09         574.187134E+06             1.01590335E+09           1.40184426E-03          -2.65310597E-03          68.3587875E-06            4.97146893E-03           1.13911068E-03         -63.3986435E-03           38.8729401E-06           64.5377579E-03           -1.13911068E-03         -66.0517426E-03          107.232018E-06            69.5092239E-03            0.                     576.245605E+06             1.44161069E+15          26.2035103E-06           40.6685562E-03 
