
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    
                   7.68320036E+03         593.077515E-03           461.010986E+06             1.14401186E+09           1.22360134E+09         402.977417E-03           970.449524E-03            12.2505465                8.54449654               3.7060554                1.56285942               1.09006119             472.798676E-03            10.000001E+15           935.390869E-03           168.531601E-03  
                   7.68924046E+03         626.310364E-03           468.427765E+06             1.14702332E+09           1.23304391E+09         408.38559E-03            972.37262E-03             12.2843227                8.56846237               3.71586585               1.56716835               1.09311843             474.050293E-03            10.000001E+15           935.563293E-03           168.405533E-03  
                   7.6952796E+03          660.47699E-03            476.041718E+06             1.15001416E+09           1.24265611E+09         413.944275E-03           971.378296E-03            12.3167744                8.59148884               3.72529078               1.57130873               1.09605622             475.252625E-03            10.000001E+15           935.72699E-03            168.285721E-03  
                   7.70131969E+03         695.580566E-03           483.827881E+06             1.15298963E+09           1.25241482E+09         419.62912E-03            967.15918E-03             12.3481598                8.61375999               3.73440433               1.57531273               1.09889734             476.415283E-03            10.000001E+15           935.884033E-03           168.170959E-03  
                   7.70735979E+03         731.605408E-03           491.745178E+06             1.15594494E+09           1.26227283E+09         425.405304E-03           961.108032E-03            12.3786869                8.63542271               3.7432673                1.57920682               1.10166109             477.54599E-03             10.000001E+15           936.035278E-03           168.060394E-03  
                   7.71339989E+03         768.546631E-03           499.804016E+06             1.15888202E+09           1.27223957E+09         431.281189E-03           953.399353E-03            12.4085264                8.65660095               3.75192976               1.58301389               1.10436285             478.651062E-03            10.000001E+15           936.181641E-03           167.953369E-03  
                   7.71943998E+03         806.376526E-03           507.855621E+06             1.1617986E+09            1.28216267E+09         437.128754E-03           944.79541E-03             12.4377785                8.67736244               3.76042032               1.5867455                1.10701156             479.734253E-03            10.000001E+15           936.323914E-03           167.849396E-03  
                   7.72548008E+03         845.093445E-03           516.048767E+06             1.1646955E+09            1.29218626E+09         443.076111E-03           935.2854E-03              12.4665174                8.69776058               3.76876116               1.59041214               1.1096139              480.798279E-03            10.000001E+15           936.462524E-03           167.748093E-03  
                   7.73152018E+03         884.639465E-03           524.21814E+06              1.16757131E+09           1.30214274E+09         448.98172E-03            925.261108E-03            12.4948072                8.71784019               3.77696991               1.59402084               1.11217546             481.845551E-03            10.000001E+15           936.597717E-03           167.649292E-03  
                   7.73756027E+03         924.958069E-03           532.371826E+06             1.17041743E+09           1.31203115E+09         454.856445E-03           914.750732E-03            12.5226707                8.73762131               3.78505468               1.59757602               1.11469913             482.877075E-03            10.000001E+15           936.729919E-03           167.552795E-03  
                   7.74359989E+03         965.993896E-03           540.496155E+06             1.1732384E+09            1.32183671E+09         460.687592E-03           903.835449E-03            12.5501385                8.75711918               3.79302311               1.60107982               1.11718643             483.893555E-03            10.000001E+15           936.858887E-03           167.458481E-03  
                   7.74963999E+03           1.00766933             548.499023E+06             1.17601967E+09           1.33146012E+09         466.403107E-03           892.779602E-03            12.5771856                8.77632141               3.80086899               1.60453069               1.11963642             484.894501E-03            10.000001E+15           936.985046E-03           167.366348E-03  
                   7.75568008E+03           1.04990268             556.5755E+06               1.17876685E+09           1.34109437E+09         472.167755E-03           881.429504E-03            12.6038008                8.79521656               3.80858827               1.60792601               1.12204695             485.879303E-03            10.000001E+15           937.108154E-03           167.276413E-03  
                   7.7617197E+03            1.09256268             564.496643E+06             1.18147731E+09           1.35052013E+09         477.789337E-03           870.374146E-03            12.6299896                8.81381035               3.81618237               1.61126697               1.12441897             486.848206E-03            10.000001E+15           937.228394E-03           167.188614E-03  
                   7.7677598E+03            1.13556314             572.435303E+06             1.18414378E+09           1.35990942E+09         483.417755E-03           859.621277E-03            12.6556969                8.83206367               3.82363701               1.61454654               1.12674761             487.799133E-03            10.000001E+15           937.345581E-03           167.103119E-03  
                   7.7737999E+03            1.17880344             580.431335E+06             1.18676031E+09           1.36930442E+09         489.089752E-03           849.344788E-03            12.6808662                8.84993553               3.83093429               1.61775732               1.12902761             488.730072E-03            10.000001E+15           937.45929E-03            167.019989E-03  
                   7.77983999E+03           1.22216332             588.383667E+06             1.18932116E+09           1.37863445E+09         494.723328E-03           840.317078E-03            12.7054176                8.86737156               3.83805203               1.62088966               1.13125193             489.638092E-03            10.000001E+15           937.569519E-03           166.939529E-03  
                   7.78588009E+03           1.26552427             596.423706E+06             1.19182479E+09           1.38804102E+09         500.43042E-03            832.596008E-03            12.729188                 8.88425064               3.84494209               1.62392199               1.13340521             490.51709E-03             10.000001E+15           937.675598E-03           166.862183E-03  
                   7.79191971E+03           1.30876863             604.9328E+06               1.19426894E+09           1.39794886E+09         506.531952E-03           826.617065E-03            12.7519655                8.90042686               3.85154438               1.62682784               1.13546884             491.359314E-03            10.000001E+15           937.776245E-03           166.788605E-03  
                   7.7979598E+03            1.35178316             614.282654E+06             1.19664884E+09           1.40875816E+09         513.339478E-03           822.799866E-03            12.7735281                8.91573906               3.85779309               1.62957871               1.13742244             492.156555E-03            10.000001E+15           937.871033E-03           166.719376E-03  
                   7.8039999E+03            1.3944546              624.361389E+06             1.19896114E+09           1.42036498E+09         520.757507E-03           821.526978E-03            12.7937117                8.93007374               3.8636415                1.63215339               1.13925123             492.902679E-03            10.000001E+15           937.959229E-03           166.655029E-03  




