
                     X                  AVERAGE_UVARM1           AVERAGE_UVARM2           AVERAGE_UVARM3           AVERAGE_UVARM4           AVERAGE_UVARM5           AVERAGE_UVARM6           AVERAGE_UVARM7           AVERAGE_UVARM8           AVERAGE_UVARM9          AVERAGE_UVARM10          AVERAGE_UVARM11          AVERAGE_UVARM12          AVERAGE_UVARM13          AVERAGE_UVARM14          AVERAGE_UVARM15    
                   7.48304987E+03         165.187698E-06           440.520538E+06           871.205078E+06           988.577087E+06           505.64505E-03            355.62323E-03             10.3166018                8.72433949               1.59226274               1.31613696               1.11300457             203.132431E-03             3.31375265E+12         924.22583E-03            176.715286E-03  
                   7.48860025E+03           1.27204502E-03         444.458679E+06           881.435547E+06           999.609131E+06           504.24408E-03            362.10791E-03             10.3198566                8.72297859               1.59687924               1.3165524                1.11283088             203.72139E-03             25.4508934E+12          924.247925E-03           176.699005E-03  
                   7.49414968E+03           2.32374573E-03         447.640564E+06           891.156372E+06             1.00978565E+09         502.314148E-03           370.71109E-03             10.3229103                8.72165298               1.60125923               1.3169421                1.11266184             204.280151E-03            46.4849014E+12          924.268677E-03           176.683762E-03  
                   7.49970007E+03           3.31468487E-03         450.757568E+06           900.315552E+06             1.01941144E+09         500.666016E-03           377.940277E-03            10.3258286                8.72043705               1.60539079               1.31731391               1.11250687             204.807236E-03            66.3036804E+12          924.288269E-03           176.669281E-03  
                   7.50524998E+03           4.26387215E-03         454.164062E+06           909.088684E+06             1.02883399E+09         499.581512E-03           382.630066E-03            10.3286905                8.71933556               1.60935736               1.31767952               1.11236608             205.313232E-03            85.2874374E+12          924.307861E-03           176.655014E-03  
                   7.51079988E+03           5.18699312E-03         458.046783E+06           917.621399E+06             1.03828669E+09         499.167633E-03           384.367249E-03            10.3315639                8.71833706               1.61322641               1.31804585               1.11223888             205.806839E-03           103.749878E+12           924.327087E-03           176.640747E-03  
                   7.51635027E+03           6.10572529E-03         462.458344E+06           926.113098E+06             1.04797781E+09         499.353973E-03           383.489166E-03            10.3345137                8.71742535               1.61709023               1.31842244               1.11212254             206.299774E-03           122.124519E+12           924.347168E-03           176.626083E-03  
                   7.5218997E+03            7.039783E-03           467.425018E+06           934.746582E+06             1.05808032E+09         500.05542E-03            380.383606E-03            10.3375893                8.71656132               1.6210283                1.31881464               1.11201227             206.802216E-03           140.805618E+12           924.368042E-03           176.610764E-03  
                   7.52745008E+03           8.02924919E-03         472.926178E+06           943.869263E+06             1.06889272E+09         501.050598E-03           376.080505E-03            10.3408852                8.71568203               1.62520504               1.31923521               1.11190009             207.335007E-03           160.594986E+12           924.390076E-03           176.594421E-03  
                   7.53299999E+03           9.15294361E-03         478.36673E+06            953.271851E+06             1.07992578E+09         501.815918E-03           372.860901E-03            10.3445883                8.71464634               1.62994146               1.31970727               1.11176801             207.939209E-03           183.068848E+12           924.415161E-03           176.576065E-03  
                   7.5385499E+03           10.5378685E-03          482.786621E+06           962.565491E+06             1.09038603E+09         501.562225E-03           374.474243E-03            10.3489456                8.71319962               1.63574719               1.32026362               1.11158347             208.679947E-03           210.767365E+12           924.444885E-03           176.554443E-03  
                   7.54410028E+03          12.1008921E-03          485.538849E+06           970.471558E+06             1.09874141E+09         500.312439E-03           380.113922E-03            10.3537197                8.71144485               1.64227712               1.32087266               1.11135948             209.51297E-03            242.027832E+12           924.476807E-03           176.530807E-03  
                   7.54964972E+03          13.5990438E-03          488.661804E+06           978.049377E+06             1.10695827E+09         499.628693E-03           382.936462E-03            10.3584213                8.70987034               1.64855182               1.32147253               1.11115861             210.313492E-03           271.990875E+12           924.508423E-03           176.507538E-03  
                   7.5552001E+03           15.0417814E-03          492.491974E+06           985.347229E+06             1.11529267E+09         499.815704E-03           381.943298E-03            10.3631544                8.70853233               1.65462339               1.32207596               1.11098778             211.088043E-03           300.845642E+12           924.540405E-03           176.484177E-03  
                   7.56075001E+03          16.4552345E-03          497.276917E+06           992.496887E+06             1.12398946E+09         501.036163E-03           376.458344E-03            10.3679905                8.70739365               1.66059971               1.32269335               1.1108427              211.850479E-03           329.114685E+12           924.572937E-03           176.460236E-03  
                   7.56629992E+03          17.9037533E-03          503.281738E+06           999.823792E+06             1.1334511E+09          503.370392E-03           366.090759E-03            10.3730783                8.70633888               1.66674244               1.32334244               1.11070836             212.634125E-03           358.08493E+12            924.606934E-03           176.43515E-03   
                   7.5718503E+03           19.532671E-03           510.878082E+06             1.00806308E+09           1.14447916E+09         506.791718E-03           350.905884E-03            10.3787622                8.70512199               1.67364252               1.32406723               1.11055291             213.51442E-03            390.663391E+12           924.645081E-03           176.407135E-03  
                   7.57739973E+03          21.9823036E-03          515.552856E+06             1.01508653E+09           1.15315711E+09         507.890411E-03           347.397827E-03            10.3865242                8.70262623               1.68389857               1.32505739               1.11023474             214.822861E-03           439.656128E+12           924.697083E-03           176.368942E-03  
                   7.58295012E+03          24.7923927E-03          519.473938E+06             1.02169216E+09           1.16100872E+09         508.444733E-03           345.555908E-03            10.3950014                8.69940948               1.69559336               1.32613909               1.1098243              216.314713E-03           495.857849E+12           924.753845E-03           176.327332E-03  
                   7.58850002E+03          27.7298012E-03          524.337891E+06             1.02859664E+09           1.1695056E+09          509.760437E-03           339.764862E-03            10.4040079                8.69617844               1.70783126               1.32728791               1.10941207             217.876022E-03           554.606079E+12           924.814026E-03           176.283173E-03  
                   7.59404993E+03          31.3159409E-03          530.300964E+06             1.03554845E+09           1.17863226E+09         512.096558E-03           330.01767E-03             10.4148598                8.69212246               1.72273958               1.32867241               1.10889447             219.777969E-03           626.328796E+12           924.88623E-03            176.230118E-03  




