
                     X                      Cbar_L                 Cbar_total               Cbar_trap                   PEEQ                  PSI_Cbar_L                  S_11                     S_12                     S_22                     S_33                   S_Mises                   dPEEQ                eps_elastic_11           eps_elastic_12           eps_elastic_22           eps_elastic_33           eps_plastic_11           eps_plastic_12           eps_plastic_22           eps_plastic_33            eps_total_11             eps_total_12             eps_total_22             eps_total_33          hydrostatic_stress             rho_d                   theta_L                 theta_trap      
                  35.E+03                  24.7163124               25.0148907              298.578308E-03            43.6681061E-03          435.055634E-03             9.11318874E+06        -345.7565E+03               1.04368591E+09         518.998352E+06           895.997009E+06             1.52418411E-03          -2.12458801E-03          -4.49496269E-06           4.60013342E-03           1.18966532E-03         -37.2258606E-03          -26.8209267E-06           38.4155235E-03           -1.18966532E-03         -39.3504372E-03          -31.3167133E-06           43.0156517E-03            0.                     526.12738E+06            873.462158E+12            26.8517914E-06           41.6303787E-03 
                  36.E+03                  24.6758957               24.9842834              308.391083E-03            45.1742134E-03          435.979431E-03             9.1137476E+06         -358.070496E+03             1.05035257E+09         522.450134E+06           901.768799E+06             1.50611007E-03          -2.13548493E-03          -4.65497541E-06           4.63256836E-03           1.20120144E-03         -38.5256691E-03          -27.1744804E-06           39.7268829E-03           -1.20120144E-03         -40.6611671E-03          -31.8294048E-06           44.3594398E-03            0.                     529.444458E+06           903.584167E+12            26.8078842E-06           41.5651207E-03 
                  37.E+03                  24.6371021               24.9551926              318.085358E-03            46.6646957E-03          436.866058E-03             9.11211205E+06        -369.015015E+03             1.05678463E+09         525.778687E+06           907.339478E+06             1.49048138E-03          -2.14596367E-03          -4.79704618E-06           4.6639061E-03            1.21236908E-03         -39.8121338E-03          -27.6544018E-06           41.0244865E-03           -1.21236908E-03         -41.9580956E-03          -32.4498405E-06           45.6884003E-03            0.                     532.643372E+06           933.39386E+12             26.7657452E-06           41.5024986E-03 
                  38.E+03                  24.5998173               24.927494               327.680206E-03            48.1422997E-03          437.718475E-03             9.10953808E+06        -378.303986E+03             1.06300795E+09         528.994141E+06           912.730286E+06             1.47759938E-03          -2.15603948E-03          -4.91797256E-06           4.69430017E-03           1.22321117E-03         -41.0875778E-03          -28.2381077E-06           42.3107948E-03           -1.22321117E-03         -43.2436104E-03          -33.1554337E-06           47.005085E-03             0.                     535.751892E+06           962.946045E+12            26.7252254E-06           41.4422951E-03 
                  39.E+03                  24.5640259               24.9012127              337.191986E-03            49.6090775E-03          438.536591E-03             9.10549259E+06        -385.994995E+03             1.06904209E+09         532.108887E+06           917.958801E+06             1.46678114E-03          -2.16576171E-03          -5.01816988E-06           4.72382832E-03           1.23376024E-03         -42.3537788E-03          -28.9179153E-06           43.5875359E-03           -1.23376024E-03         -44.5195427E-03          -33.9358826E-06           48.3113708E-03            0.                     538.762939E+06           992.281616E+12            26.6863461E-06           41.3844795E-03 
                  40.E+03                  24.529562                24.8761902              346.627655E-03            51.0660973E-03          439.324188E-03             9.10022736E+06        -393.454987E+03             1.07490218E+09         535.131165E+06           923.037415E+06             1.45701182E-03          -2.17516422E-03          -5.11507845E-06           4.75254869E-03           1.24403739E-03         -43.61166E-03            -29.6946964E-06           44.8556976E-03           -1.24403739E-03         -45.7868271E-03          -34.8082962E-06           49.6082344E-03            0.                     541.684814E+06             1.02142179E+15          26.6489105E-06           41.3288193E-03 
                  41.E+03                  24.4963551               24.8523521              355.998901E-03            52.5149612E-03          440.08316E-03              9.09403992E+06        -401.234009E+03             1.08060348E+09         538.06958E+06            927.979431E+06             1.44886243E-03          -2.18427563E-03          -5.2160759E-06            4.78053474E-03           1.25406504E-03         -44.8625832E-03          -30.5577412E-06           46.1166573E-03           -1.25406504E-03         -47.0468636E-03          -35.7755928E-06           50.8972015E-03            0.                     544.528442E+06             1.05039907E+15          26.6128407E-06           41.2751846E-03 
                  42.E+03                  24.470211                24.8356133              365.404053E-03            53.9577026E-03          440.680817E-03             9.08676338E+06        -408.822998E+03             1.08616114E+09         540.932739E+06           932.798035E+06             1.44274461E-03          -2.19313002E-03          -5.31451941E-06           4.80785227E-03           1.26386845E-03         -46.1083336E-03          -31.5133362E-06           47.3722E-03              -1.26386845E-03         -48.3014526E-03          -36.8289185E-06           52.1800537E-03            0.                     547.30011E+06              1.07925391E+15          26.5844269E-06           41.2329521E-03 
                  43.E+03                  24.4370213               24.8116722              374.646027E-03            55.3945656E-03          441.439392E-03             9.07849216E+06        -417.647003E+03             1.09158301E+09         543.724915E+06           937.499878E+06             1.43686748E-03          -2.20174623E-03          -5.42929029E-06           4.83453369E-03           1.27345598E-03         -47.3490753E-03          -32.5635796E-06           48.6225395E-03           -1.27345598E-03         -49.550827E-03           -37.9924889E-06           53.4570732E-03            0.                     550.002319E+06             1.10799098E+15          26.5483761E-06           41.1793213E-03 
                  44.E+03                  24.4116669               24.7956161              383.946533E-03            56.8264198E-03          442.018982E-03             9.0698719E+06         -427.552002E+03             1.09687948E+09         546.45105E+06            942.093628E+06             1.4318428E-03           -2.21013546E-03          -5.55809689E-06           4.86062765E-03           1.28284335E-03         -48.5855865E-03          -33.7124786E-06           49.8684196E-03           -1.28284335E-03         -50.7957306E-03          -39.2695656E-06           54.7290573E-03            0.                     552.643921E+06             1.13662827E+15          26.5208302E-06           41.1383514E-03 
                  45.E+03                  24.3801689               24.7732735              393.104858E-03            58.2540398E-03          442.738892E-03             9.06123447E+06        -439.1875E+03               1.10205901E+09         549.114868E+06           946.586121E+06             1.42764783E-03          -2.21830535E-03          -5.7093854E-06            4.88617992E-03           1.29204369E-03         -49.8185539E-03          -34.9611473E-06           51.1105881E-03           -1.29204369E-03         -52.0368423E-03          -40.6705055E-06           55.9967613E-03            0.                     555.230896E+06             1.16518116E+15          26.4866104E-06           41.0874443E-03 
                  46.E+03                  24.3510742               24.7533302              402.255676E-03            59.6784973E-03          443.403961E-03             9.05196381E+06        -451.290985E+03             1.10712981E+09         551.721802E+06           950.984863E+06             1.42444277E-03          -2.22628331E-03          -5.86680841E-06           4.91122341E-03           1.30107093E-03         -51.0488205E-03          -36.3193665E-06           52.3498726E-03           -1.30107093E-03         -53.2751007E-03          -42.1848373E-06           57.261097E-03             0.                     557.760132E+06             1.19366992E+15          26.454998E-06            41.040432E-03  
                  47.E+03                  24.3286247               24.7400951              411.4711E-03              61.0998726E-03          443.917145E-03             9.04215813E+06        -463.990509E+03             1.11209726E+09         554.274597E+06           955.294861E+06             1.42136621E-03          -2.23407936E-03          -6.03209639E-06           4.93577766E-03           1.30993199E-03         -52.2764931E-03          -37.7831764E-06           53.5864296E-03           -1.30993199E-03         -54.5105667E-03          -43.813488E-06            58.5222015E-03            0.                     560.237854E+06             1.22209716E+15          26.430603E-06            41.0041428E-03 
                  48.E+03                  24.3052063               24.7258434              420.63736E-03             62.5187988E-03          444.452332E-03             9.03204823E+06        -477.257996E+03             1.11696744E+09         556.775879E+06           959.520691E+06             1.41891992E-03          -2.24169803E-03          -6.20432568E-06           4.95988417E-03           1.31863701E-03         -53.5021286E-03          -39.3550148E-06           54.8207741E-03           -1.31863701E-03         -55.7438354E-03          -45.5594864E-06           59.7806587E-03            0.                     562.6698E+06               1.25047541E+15          26.4051666E-06           40.9662781E-03 
                  49.E+03                  24.2769203               24.7066078              429.691864E-03            63.9360085E-03          445.098938E-03             9.02135658E+06        -491.307007E+03             1.12174761E+09         559.22998E+06            963.669128E+06             1.41721797E-03          -2.24916053E-03          -6.38710451E-06           4.98355579E-03           1.32719553E-03         -54.7263718E-03          -41.0414085E-06           56.053566E-03            -1.32719553E-03         -56.9755402E-03          -47.4320259E-06           61.0371361E-03            0.                     565.053284E+06             1.27881992E+15          26.3744335E-06           40.9205551E-03 
                  50.E+03                  24.2557831               24.6946163              438.837677E-03            65.3515396E-03          445.582092E-03             9.01038742E+06        -506.272003E+03             1.12643957E+09         561.638855E+06           967.741699E+06             1.41553009E-03          -2.25647449E-03          -6.58148956E-06           5.00681734E-03           1.33561134E-03         -55.9492264E-03          -42.8502655E-06           57.2848358E-03           -1.33561134E-03         -58.2056961E-03          -49.4318085E-06           62.2916527E-03            0.                     567.39325E+06              1.30713046E+15          26.3514748E-06           40.8863869E-03 
                  51.E+03                  24.2341156               24.6820641              447.950195E-03            66.7658615E-03          446.07724E-03              8.99885654E+06        -521.434998E+03             1.13104999E+09         564.0047E+06             971.743896E+06             1.41432858E-03          -2.26364493E-03          -6.77854395E-06           5.02968597E-03           1.34389257E-03         -57.1711121E-03          -44.7739143E-06           58.5149994E-03           -1.34389257E-03         -59.4347496E-03          -51.5534782E-06           63.5446892E-03            0.                     569.692993E+06             1.33541727E+15          26.3279381E-06           40.8513565E-03 
                  52.E+03                  24.2126102               24.669651               457.040802E-03            68.1789703E-03          446.568848E-03             8.98713589E+06        -537.13501E+03              1.1355809E+09          566.328308E+06           975.677429E+06             1.41309416E-03          -2.27067542E-03          -6.98256207E-06           5.05218554E-03           1.35204315E-03         -58.3919716E-03          -46.8157234E-06           59.74403E-03             -1.35204315E-03         -60.6626625E-03          -53.8016891E-06           64.7962112E-03            0.                     571.954529E+06             1.36367929E+15          26.3045692E-06           40.8165932E-03 
                  53.E+03                  24.1915169               24.6576271              466.118439E-03            69.5913696E-03          447.051117E-03             8.97525597E+06        -553.107971E+03             1.14003789E+09         568.612366E+06           979.54718E+06              1.41240978E-03          -2.27756929E-03          -7.19042873E-06           5.07433653E-03           1.36007237E-03         -59.6123276E-03          -48.981514E-06            60.972393E-03            -1.36007237E-03         -61.8898849E-03          -56.1733017E-06           66.0467224E-03            0.                     574.180115E+06             1.391927E+15            26.2816467E-06           40.7824745E-03 
                  54.E+03                  24.1709099               24.646101               475.183716E-03            71.0029144E-03          447.521851E-03             8.96324444E+06        -569.692017E+03             1.1444217E+09          570.857971E+06           983.35376E+06              1.4115504E-03           -2.28433275E-03          -7.40581131E-06           5.09614801E-03           1.3679837E-03          -60.8319664E-03          -51.2707062E-06           62.1999702E-03           -1.3679837E-03          -63.1163063E-03          -58.6793747E-06           67.2961044E-03            0.                     576.368347E+06             1.42015827E+15          26.2592697E-06           40.7491531E-03 
